code,plot,year,species,#adults,#saplings,#seedlings
667,OM1,2013,Rosmarinus officinalis,3,1,1
671,OM2,2013,Cistus libanotis,3,4,1
672,OM2,2013,Halimium commutatum,19,1,5
673,OM2,2013,Halimium halimifolium,11,1,2
676,OM2,2013,Lavandula stoechas,22,1,2
677,OM2,2013,Rosmarinus officinalis,0,0,0
681,OM3,2013,Cistus libanotis,14,2,0
682,OM3,2013,Halimium commutatum,5,2,1
683,OM3,2013,Halimium halimifolium,11,1,0
686,OM3,2013,Lavandula stoechas,14,0,10
687,OM3,2013,Rosmarinus officinalis,9,1,0
691,OM4,2013,Cistus libanotis,29,0,1
692,OM4,2013,Halimium commutatum,6,2,5
693,OM4,2013,Halimium halimifolium,5,0,2
696,OM4,2013,Lavandula stoechas,0,0,10
697,OM4,2013,Rosmarinus officinalis,16,0,0
701,OM5,2013,Cistus libanotis,3,0,1
702,OM5,2013,Halimium commutatum,9,0,0
703,OM5,2013,Halimium halimifolium,5,0,0
706,OM5,2013,Lavandula stoechas,9,0,2
707,OM5,2013,Rosmarinus officinalis,9,0,0
711,OM6,2013,Cistus libanotis,4,0,4
712,OM6,2013,Halimium commutatum,9,0,5
713,OM6,2013,Halimium halimifolium,10,0,1
716,OM6,2013,Lavandula stoechas,23,3,15
717,OM6,2013,Rosmarinus officinalis,10,2,1
721,CM1,2017,Cistus libanotis,7,9,NA
722,CM1,2017,Halimium commutatum,3,0,NA
723,CM1,2017,Halimium halimifolium,6,1,NA
726,CM1,2017,Lavandula stoechas,19,2,NA
727,CM1,2017,Rosmarinus officinalis,8,0,NA
731,CM2,2017,Cistus libanotis,1,1,NA
732,CM2,2017,Halimium commutatum,4,1,NA
733,CM2,2017,Halimium halimifolium,2,0,NA
736,CM2,2017,Lavandula stoechas,2,7,NA
737,CM2,2017,Rosmarinus officinalis,8,2,NA
741,CM3,2017,Cistus libanotis,6,2,NA
742,CM3,2017,Halimium commutatum,0,0,NA
743,CM3,2017,Halimium halimifolium,8,0,NA
746,CM3,2017,Lavandula stoechas,6,0,NA
747,CM3,2017,Rosmarinus officinalis,12,1,NA
751,CM4,2017,Cistus libanotis,0,0,NA
752,CM4,2017,Halimium commutatum,4,1,NA
753,CM4,2017,Halimium halimifolium,3,1,NA
756,CM4,2017,Lavandula stoechas,15,1,NA
757,CM4,2017,Rosmarinus officinalis,1,0,NA
761,CM5,2017,Cistus libanotis,6,0,NA
762,CM5,2017,Halimium commutatum,0,2,NA
763,CM5,2017,Halimium halimifolium,8,0,NA
766,CM5,2017,Lavandula stoechas,21,3,NA
767,CM5,2017,Rosmarinus officinalis,2,0,NA
771,CM6,2017,Cistus libanotis,3,1,NA
772,CM6,2017,Halimium commutatum,2,0,NA
773,CM6,2017,Halimium halimifolium,5,0,NA
776,CM6,2017,Lavandula stoechas,17,1,NA
777,CM6,2017,Rosmarinus officinalis,12,0,NA
781,MM1,2017,Cistus libanotis,19,4,NA
782,MM1,2017,Halimium commutatum,0,1,NA
783,MM1,2017,Halimium halimifolium,0,0,NA
786,MM1,2017,Lavandula stoechas,3,0,NA
787,MM1,2017,Rosmarinus officinalis,8,2,NA
791,MM2,2017,Cistus libanotis,7,4,NA
792,MM2,2017,Halimium commutatum,6,0,NA
793,MM2,2017,Halimium halimifolium,19,0,NA
796,MM2,2017,Lavandula stoechas,0,1,NA
797,MM2,2017,Rosmarinus officinalis,5,0,NA
801,MM3,2017,Cistus libanotis,2,0,NA
802,MM3,2017,Halimium commutatum,5,3,NA
803,MM3,2017,Halimium halimifolium,12,0,NA
806,MM3,2017,Lavandula stoechas,0,0,NA
807,MM3,2017,Rosmarinus officinalis,12,3,NA
811,MM4,2017,Cistus libanotis,1,1,NA
812,MM4,2017,Halimium commutatum,9,3,NA
813,MM4,2017,Halimium halimifolium,27,0,NA
816,MM4,2017,Lavandula stoechas,0,0,NA
817,MM4,2017,Rosmarinus officinalis,7,0,NA
821,MM5,2017,Cistus libanotis,8,6,NA
822,MM5,2017,Halimium commutatum,6,2,NA
823,MM5,2017,Halimium halimifolium,6,0,NA
826,MM5,2017,Lavandula stoechas,6,1,NA
827,MM5,2017,Rosmarinus officinalis,39,2,NA
831,MM6,2017,Cistus libanotis,6,1,NA
832,MM6,2017,Halimium commutatum,6,4,NA
833,MM6,2017,Halimium halimifolium,7,1,NA
836,MM6,2017,Lavandula stoechas,3,4,NA
837,MM6,2017,Rosmarinus officinalis,24,5,NA
841,OM1,2017,Cistus libanotis,8,0,NA
842,OM1,2017,Halimium commutatum,3,7,NA
843,OM1,2017,Halimium halimifolium,0,0,NA
846,OM1,2017,Lavandula stoechas,3,5,NA
847,OM1,2017,Rosmarinus officinalis,7,1,NA
851,OM2,2017,Cistus libanotis,2,0,NA
852,OM2,2017,Halimium commutatum,23,1,NA
853,OM2,2017,Halimium halimifolium,10,0,NA
856,OM2,2017,Lavandula stoechas,18,2,NA
857,OM2,2017,Rosmarinus officinalis,1,0,NA
861,OM3,2017,Cistus libanotis,10,1,NA
862,OM3,2017,Halimium commutatum,2,6,NA
863,OM3,2017,Halimium halimifolium,6,2,NA
866,OM3,2017,Lavandula stoechas,11,2,NA
867,OM3,2017,Rosmarinus officinalis,12,1,NA
871,OM4,2017,Cistus libanotis,13,4,NA
872,OM4,2017,Halimium commutatum,6,6,NA
873,OM4,2017,Halimium halimifolium,2,0,NA
876,OM4,2017,Lavandula stoechas,1,3,NA
877,OM4,2017,Rosmarinus officinalis,16,1,NA
881,OM5,2017,Cistus libanotis,1,0,NA
882,OM5,2017,Halimium commutatum,9,1,NA
883,OM5,2017,Halimium halimifolium,5,0,NA
886,OM5,2017,Lavandula stoechas,8,0,NA
887,OM5,2017,Rosmarinus officinalis,17,0,NA
891,OM6,2017,Cistus libanotis,2,3,NA
892,OM6,2017,Halimium commutatum,7,2,NA
893,OM6,2017,Halimium halimifolium,5,1,NA
896,OM6,2017,Lavandula stoechas,12,1,NA
897,OM6,2017,Rosmarinus officinalis,8,0,NA
901,CM1,2019,Cistus libanotis,14,11,0
902,CM1,2019,Halimium commutatum,2,0,0
903,CM1,2019,Halimium halimifolium,3,0,0
906,CM1,2019,Lavandula stoechas,25,5,5
907,CM1,2019,Rosmarinus officinalis,4,0,0
911,CM2,2019,Cistus libanotis,2,2,0
912,CM2,2019,Halimium commutatum,3,0,0
913,CM2,2019,Halimium halimifolium,2,1,1
916,CM2,2019,Lavandula stoechas,4,7,9
917,CM2,2019,Rosmarinus officinalis,6,2,1
921,CM3,2019,Cistus libanotis,7,4,1
922,CM3,2019,Halimium commutatum,2,2,0
923,CM3,2019,Halimium halimifolium,12,1,1
926,CM3,2019,Lavandula stoechas,10,5,0
927,CM3,2019,Rosmarinus officinalis,14,1,0
931,CM4,2019,Cistus libanotis, ,0,0
932,CM4,2019,Halimium commutatum,15,8,2
933,CM4,2019,Halimium halimifolium,1,3,0
936,CM4,2019,Lavandula stoechas,29,15,16
937,CM4,2019,Rosmarinus officinalis,1,0,0
941,CM5,2019,Cistus libanotis,9,4,0
942,CM5,2019,Halimium commutatum,2,0,2
943,CM5,2019,Halimium halimifolium,9,4,2
946,CM5,2019,Lavandula stoechas,30,22,20
947,CM5,2019,Rosmarinus officinalis,2,0,1
951,CM6,2019,Cistus libanotis,8,0,0
952,CM6,2019,Halimium commutatum,5,2,0
953,CM6,2019,Halimium halimifolium,7,0,1
956,CM6,2019,Lavandula stoechas,28,13,2
957,CM6,2019,Rosmarinus officinalis,14,0,0
961,MM1,2019,Cistus libanotis,22,2,15
962,MM1,2019,Halimium commutatum,4,2,7
963,MM1,2019,Halimium halimifolium,0,0,2
966,MM1,2019,Lavandula stoechas,0,6,17
967,MM1,2019,Rosmarinus officinalis,11,0,0
971,MM2,2019,Cistus libanotis,9,1,2
972,MM2,2019,Halimium commutatum,7,4,0
973,MM2,2019,Halimium halimifolium,21,0,1
976,MM2,2019,Lavandula stoechas,3,0,1
977,MM2,2019,Rosmarinus officinalis,11,0,0
981,MM3,2019,Cistus libanotis,2,6,0
982,MM3,2019,Halimium commutatum,3,6,4
983,MM3,2019,Halimium halimifolium,11,2,3
986,MM3,2019,Lavandula stoechas,1,1,1
987,MM3,2019,Rosmarinus officinalis,12,3,0
991,MM4,2019,Cistus libanotis,1,4,0
992,MM4,2019,Halimium commutatum,19,11,1
993,MM4,2019,Halimium halimifolium,22,0,0
996,MM4,2019,Lavandula stoechas,0,0,0
997,MM4,2019,Rosmarinus officinalis,6,1,0
1001,MM5,2019,Cistus libanotis,13,4,1
1002,MM5,2019,Halimium commutatum,5,5,4
1003,MM5,2019,Halimium halimifolium,4,3,3
1006,MM5,2019,Lavandula stoechas,6,9,14
1007,MM5,2019,Rosmarinus officinalis,40,8,1
1011,MM6,2019,Cistus libanotis,9,15,3
1012,MM6,2019,Halimium commutatum,8,11,5
1013,MM6,2019,Halimium halimifolium,9,1,3
1016,MM6,2019,Lavandula stoechas,5,6,0
1017,MM6,2019,Rosmarinus officinalis,24,11,0
1021,OM1,2019,Cistus libanotis,9,5,2
1022,OM1,2019,Halimium commutatum,5,10,1
1023,OM1,2019,Halimium halimifolium,0,3,0
1026,OM1,2019,Lavandula stoechas,1,5,10
1027,OM1,2019,Rosmarinus officinalis,6,0,0
1031,OM2,2019,Cistus libanotis,1,6,0
1032,OM2,2019,Halimium commutatum,14,7,1
1033,OM2,2019,Halimium halimifolium,10,1,0
1036,OM2,2019,Lavandula stoechas,14,9,3
1037,OM2,2019,Rosmarinus officinalis,1,0,0
1041,OM3,2019,Cistus libanotis,5,3,0
1042,OM3,2019,Halimium commutatum,2,2,1
1043,OM3,2019,Halimium halimifolium,4,1,0
1046,OM3,2019,Lavandula stoechas,6,17,3
1047,OM3,2019,Rosmarinus officinalis,10,0,0
1051,OM4,2019,Cistus libanotis,13,10,1
1052,OM4,2019,Halimium commutatum,4,6,2
1053,OM4,2019,Halimium halimifolium,1,0,6
